dd hh:mm:ss.mss,session_id,sql_text,login_name,wait_info,CPU,tempdb_allocations,tempdb_current,blocking_session_id,reads,writes,physical_reads,used_memory,status,tran_start_time,open_tran_count,percent_complete,host_name,database_name,program_name,start_time,login_time,request_id,collection_time,sql_command,tasks,context_switches,physical_io
00 00:08:05.000,77,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=485000 lastwaittype=LCK_M_S,39,0,0,44.0,334,0,0,183,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:57:05.000,2026-05-20 10:57:00.000,0,2026-05-20 11:05:10.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,34,0
00 00:05:05.000,84,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=305000 lastwaittype=LCK_M_S,55,0,0,44.0,320,0,0,363,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 11:00:05.000,2026-05-20 11:00:00.000,0,2026-05-20 11:05:10.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,49,0
00 00:30:15.000,44,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_reporting,SOS_SCHEDULER_YIELD waittime=177 lastwaittype=SOS_SCHEDULER_YIELD,970,0,0,,42700,0,20,8029,runnable,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-05-20 11:05:00.000,2026-05-20 10:35:00.000,0,2026-05-20 11:05:15.000,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",1,5863,2
00 00:10:10.000,63,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=610000 lastwaittype=LCK_M_S,52,0,0,44.0,70,0,0,258,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:55:05.000,2026-05-20 10:55:00.000,0,2026-05-20 11:05:15.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,15,0
00 00:08:10.000,77,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=490000 lastwaittype=LCK_M_S,7,0,0,44.0,265,0,0,435,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:57:05.000,2026-05-20 10:57:00.000,0,2026-05-20 11:05:15.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,51,0
00 00:05:10.000,84,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=310000 lastwaittype=LCK_M_S,47,0,0,44.0,63,0,0,239,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 11:00:05.000,2026-05-20 11:00:00.000,0,2026-05-20 11:05:15.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,28,0
00 00:30:20.000,44,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_reporting,SOS_SCHEDULER_YIELD waittime=61 lastwaittype=SOS_SCHEDULER_YIELD,1160,1,3,,43600,0,8,7310,runnable,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-05-20 11:05:00.000,2026-05-20 10:35:00.000,0,2026-05-20 11:05:20.000,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",1,5998,1
00 00:10:15.000,63,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=615000 lastwaittype=LCK_M_S,36,0,0,44.0,335,0,0,259,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:55:05.000,2026-05-20 10:55:00.000,0,2026-05-20 11:05:20.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,31,0
00 00:08:15.000,77,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=495000 lastwaittype=LCK_M_S,7,0,0,44.0,442,0,0,335,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:57:05.000,2026-05-20 10:57:00.000,0,2026-05-20 11:05:20.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,52,0
00 00:05:15.000,84,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=315000 lastwaittype=LCK_M_S,55,0,0,44.0,313,0,0,275,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 11:00:05.000,2026-05-20 11:00:00.000,0,2026-05-20 11:05:20.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,21,0
00 00:30:25.000,44,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_reporting,SOS_SCHEDULER_YIELD waittime=285 lastwaittype=SOS_SCHEDULER_YIELD,1350,2,2,,44500,0,16,7616,runnable,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-05-20 11:05:00.000,2026-05-20 10:35:00.000,0,2026-05-20 11:05:25.000,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",1,4816,1
00 00:10:20.000,63,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=620000 lastwaittype=LCK_M_S,25,0,0,44.0,212,0,0,205,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:55:05.000,2026-05-20 10:55:00.000,0,2026-05-20 11:05:25.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,46,0
00 00:08:20.000,77,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=500000 lastwaittype=LCK_M_S,46,0,0,44.0,50,0,0,410,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:57:05.000,2026-05-20 10:57:00.000,0,2026-05-20 11:05:25.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,30,0
00 00:05:20.000,84,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=320000 lastwaittype=LCK_M_S,55,0,0,44.0,385,0,0,308,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 11:00:05.000,2026-05-20 11:00:00.000,0,2026-05-20 11:05:25.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,49,0
00 00:30:30.000,44,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_reporting,SOS_SCHEDULER_YIELD waittime=286 lastwaittype=SOS_SCHEDULER_YIELD,1540,2,5,,45400,0,2,6148,runnable,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-05-20 11:05:00.000,2026-05-20 10:35:00.000,0,2026-05-20 11:05:30.000,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",1,4312,0
00 00:10:25.000,63,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=625000 lastwaittype=LCK_M_S,36,0,0,44.0,425,0,0,154,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:55:05.000,2026-05-20 10:55:00.000,0,2026-05-20 11:05:30.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,57,0
00 00:08:25.000,77,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=505000 lastwaittype=LCK_M_S,54,0,0,44.0,18,0,0,297,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:57:05.000,2026-05-20 10:57:00.000,0,2026-05-20 11:05:30.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,10,0
00 00:05:25.000,84,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=325000 lastwaittype=LCK_M_S,13,0,0,44.0,300,0,0,232,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 11:00:05.000,2026-05-20 11:00:00.000,0,2026-05-20 11:05:30.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,13,0
00 00:30:35.000,44,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_reporting,SOS_SCHEDULER_YIELD waittime=347 lastwaittype=SOS_SCHEDULER_YIELD,1730,5,5,,46300,0,3,4693,runnable,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-05-20 11:05:00.000,2026-05-20 10:35:00.000,0,2026-05-20 11:05:35.000,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",1,7770,3
00 00:10:30.000,63,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=630000 lastwaittype=LCK_M_S,37,0,0,44.0,439,0,0,381,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:55:05.000,2026-05-20 10:55:00.000,0,2026-05-20 11:05:35.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,24,0
00 00:08:30.000,77,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=510000 lastwaittype=LCK_M_S,14,0,0,44.0,102,0,0,379,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:57:05.000,2026-05-20 10:57:00.000,0,2026-05-20 11:05:35.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,50,0
00 00:05:30.000,84,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=330000 lastwaittype=LCK_M_S,32,0,0,44.0,398,0,0,246,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 11:00:05.000,2026-05-20 11:00:00.000,0,2026-05-20 11:05:35.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,24,0
00 00:30:40.000,44,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_reporting,SOS_SCHEDULER_YIELD waittime=254 lastwaittype=SOS_SCHEDULER_YIELD,1920,0,2,,47200,0,4,6448,runnable,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-05-20 11:05:00.000,2026-05-20 10:35:00.000,0,2026-05-20 11:05:40.000,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",1,4623,1
00 00:10:35.000,63,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=635000 lastwaittype=LCK_M_S,7,0,0,44.0,136,0,0,252,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:55:05.000,2026-05-20 10:55:00.000,0,2026-05-20 11:05:40.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,15,0
00 00:08:35.000,77,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=515000 lastwaittype=LCK_M_S,46,0,0,44.0,45,0,0,348,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:57:05.000,2026-05-20 10:57:00.000,0,2026-05-20 11:05:40.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,56,0
00 00:05:35.000,84,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=335000 lastwaittype=LCK_M_S,14,0,0,44.0,125,0,0,303,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 11:00:05.000,2026-05-20 11:00:00.000,0,2026-05-20 11:05:40.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,30,0
00 00:30:45.000,44,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_reporting,SOS_SCHEDULER_YIELD waittime=320 lastwaittype=SOS_SCHEDULER_YIELD,2110,4,4,,48100,0,2,5097,runnable,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-05-20 11:05:00.000,2026-05-20 10:35:00.000,0,2026-05-20 11:05:45.000,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",1,8722,0
00 00:10:40.000,63,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=640000 lastwaittype=LCK_M_S,58,0,0,44.0,269,0,0,371,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:55:05.000,2026-05-20 10:55:00.000,0,2026-05-20 11:05:45.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,18,0
00 00:08:40.000,77,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=520000 lastwaittype=LCK_M_S,45,0,0,44.0,265,0,0,449,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:57:05.000,2026-05-20 10:57:00.000,0,2026-05-20 11:05:45.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,11,0
00 00:05:40.000,84,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=340000 lastwaittype=LCK_M_S,11,0,0,44.0,235,0,0,203,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 11:00:05.000,2026-05-20 11:00:00.000,0,2026-05-20 11:05:45.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,50,0
00 00:30:50.000,44,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_reporting,SOS_SCHEDULER_YIELD waittime=135 lastwaittype=SOS_SCHEDULER_YIELD,2300,5,5,,49000,0,0,6886,runnable,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-05-20 11:05:00.000,2026-05-20 10:35:00.000,0,2026-05-20 11:05:50.000,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",1,8741,3
00 00:10:45.000,63,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=645000 lastwaittype=LCK_M_S,12,0,0,44.0,67,0,0,402,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:55:05.000,2026-05-20 10:55:00.000,0,2026-05-20 11:05:50.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,59,0
00 00:08:45.000,77,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=525000 lastwaittype=LCK_M_S,57,0,0,44.0,379,0,0,418,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:57:05.000,2026-05-20 10:57:00.000,0,2026-05-20 11:05:50.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,30,0
00 00:05:45.000,84,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=345000 lastwaittype=LCK_M_S,34,0,0,44.0,211,0,0,234,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 11:00:05.000,2026-05-20 11:00:00.000,0,2026-05-20 11:05:50.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,49,0
00 00:30:55.000,44,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_reporting,SOS_SCHEDULER_YIELD waittime=140 lastwaittype=SOS_SCHEDULER_YIELD,2490,2,4,,49900,0,10,5474,runnable,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-05-20 11:05:00.000,2026-05-20 10:35:00.000,0,2026-05-20 11:05:55.000,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",1,5197,0
00 00:10:50.000,63,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=650000 lastwaittype=LCK_M_S,44,0,0,44.0,33,0,0,161,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:55:05.000,2026-05-20 10:55:00.000,0,2026-05-20 11:05:55.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,10,0
00 00:08:50.000,77,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=530000 lastwaittype=LCK_M_S,7,0,0,44.0,412,0,0,223,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 10:57:05.000,2026-05-20 10:57:00.000,0,2026-05-20 11:05:55.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,41,0
00 00:05:50.000,84,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",svc_orders,LCK_M_S waitresource=OBJECT: 9:1147676882 waittime=350000 lastwaittype=LCK_M_S,54,0,0,44.0,206,0,0,200,suspended,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-05-20 11:00:05.000,2026-05-20 11:00:00.000,0,2026-05-20 11:05:55.000,"SELECT o.OrderId, o.Status FROM dbo.Orders o WHERE o.CreatedDate >= @p1",1,30,0
