dd hh:mm:ss.mss,session_id,sql_text,login_name,wait_info,CPU,tempdb_allocations,tempdb_current,blocking_session_id,reads,writes,physical_reads,used_memory,status,tran_start_time,open_tran_count,percent_complete,host_name,database_name,program_name,start_time,login_time,request_id,collection_time,additional_info
00 00:02:40.000,58,"UPDATE dbo.PickList SET Status = @p1, PickedQty = PickedQty + @p2 WHERE WaveId = @p3",svc_wave,,26200,8,8,,288000,90000,880,4600,running,2026-08-29 02:13:19.000,1,0.0,WFC-APP-07,WarehouseDB,WaveController.Service,2026-08-29 02:13:20.000,2026-08-29 02:10:05.000,0,2026-08-29 02:16:00.000,<additional_info><request_identity><query_hash>0x9F2A7C4E1B0D8836</query_hash><query_plan_hash>0x4C1B9E7A2F5D3300</query_plan_hash><sql_handle>0x02000000C1A2B3D4E5F60718293A4B5C6D7E8F90A1B2C3D4</sql_handle><plan_handle>0x06000E00A1B2C3D4E5F60718293A4B5C6D7E8F90A1B2C3D4</plan_handle><statement_start_offset>0</statement_start_offset><statement_end_offset>-1</statement_end_offset><database_id>7</database_id></request_identity></additional_info>
00 00:02:08.000,73,UPDATE dbo.PickList SET Status = @p1 WHERE PickListId = @p2,svc_wave,LCK_M_U waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=126000 lastwaittype=LCK_M_U,36,0,0,58,88,0,0,320,suspended,2026-08-29 02:13:52.000,1,0.0,WFC-APP-07,WarehouseDB,WaveController.Service,2026-08-29 02:13:52.000,2026-08-29 02:11:40.000,0,2026-08-29 02:16:00.000,<additional_info><request_identity><query_hash>0x33AA55CC77EE9910</query_hash></request_identity></additional_info>
00 00:01:12.000,81,"SELECT pl.PickListId, pl.Status, pl.PickedQty FROM dbo.PickList AS pl WHERE pl.WaveId = @p1",svc_pickweb,LCK_M_S waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=62000 lastwaittype=LCK_M_S,21,0,0,73,30,0,0,210,suspended,,0,0.0,WFC-WEB-02,WarehouseDB,PickPortal.Web,2026-08-29 02:14:48.000,2026-08-29 02:12:00.000,0,2026-08-29 02:16:00.000,<additional_info><request_identity><query_hash>0x5C1177AA33BB0022</query_hash></request_identity></additional_info>
00 00:00:10.000,90,"UPDATE dbo.PickList SET Status = @p1, PickedQty = @p2 WHERE WaveId = @p3 AND LineId = @p4",svc_wave,LCK_M_X waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=5000 lastwaittype=LCK_M_X,25,0,0,58,55,0,0,300,suspended,2026-08-29 02:15:50.000,1,0.0,WFC-APP-09,WarehouseDB,WaveController.Service,2026-08-29 02:15:50.000,2026-08-29 02:14:30.000,0,2026-08-29 02:16:00.000,<additional_info><request_identity><query_hash>0x88DD22FF44AA6611</query_hash></request_identity></additional_info>
00 00:03:10.000,58,"UPDATE dbo.PickList SET Status = @p1, PickedQty = PickedQty + @p2 WHERE WaveId = @p3",svc_wave,,30500,8,8,,330000,106500,410,6000,running,2026-08-29 02:13:19.000,1,0.0,WFC-APP-07,WarehouseDB,WaveController.Service,2026-08-29 02:13:20.000,2026-08-29 02:10:05.000,0,2026-08-29 02:16:30.000,<additional_info><request_identity><query_hash>0x9F2A7C4E1B0D8836</query_hash><query_plan_hash>0x4C1B9E7A2F5D3300</query_plan_hash><sql_handle>0x02000000C1A2B3D4E5F60718293A4B5C6D7E8F90A1B2C3D4</sql_handle><plan_handle>0x06000E00A1B2C3D4E5F60718293A4B5C6D7E8F90A1B2C3D4</plan_handle><statement_start_offset>0</statement_start_offset><statement_end_offset>-1</statement_end_offset><database_id>7</database_id></request_identity></additional_info>
00 00:02:38.000,73,UPDATE dbo.PickList SET Status = @p1 WHERE PickListId = @p2,svc_wave,LCK_M_U waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=156000 lastwaittype=LCK_M_U,40,0,0,58,100,0,0,320,suspended,2026-08-29 02:13:52.000,1,0.0,WFC-APP-07,WarehouseDB,WaveController.Service,2026-08-29 02:13:52.000,2026-08-29 02:11:40.000,0,2026-08-29 02:16:30.000,<additional_info><request_identity><query_hash>0x33AA55CC77EE9910</query_hash></request_identity></additional_info>
00 00:01:42.000,81,"SELECT pl.PickListId, pl.Status, pl.PickedQty FROM dbo.PickList AS pl WHERE pl.WaveId = @p1",svc_pickweb,LCK_M_S waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=91000 lastwaittype=LCK_M_S,24,0,0,73,30,0,0,210,suspended,,0,0.0,WFC-WEB-02,WarehouseDB,PickPortal.Web,2026-08-29 02:14:48.000,2026-08-29 02:12:00.000,0,2026-08-29 02:16:30.000,<additional_info><request_identity><query_hash>0x5C1177AA33BB0022</query_hash></request_identity></additional_info>
00 00:00:40.000,90,"UPDATE dbo.PickList SET Status = @p1, PickedQty = @p2 WHERE WaveId = @p3 AND LineId = @p4",svc_wave,LCK_M_X waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=33000 lastwaittype=LCK_M_X,25,0,0,58,55,0,0,300,suspended,2026-08-29 02:15:50.000,1,0.0,WFC-APP-09,WarehouseDB,WaveController.Service,2026-08-29 02:15:50.000,2026-08-29 02:14:30.000,0,2026-08-29 02:16:30.000,<additional_info><request_identity><query_hash>0x88DD22FF44AA6611</query_hash></request_identity></additional_info>
00 00:03:40.000,58,"UPDATE dbo.PickList SET Status = @p1, PickedQty = PickedQty + @p2 WHERE WaveId = @p3",svc_wave,,34800,8,8,,372000,123000,260,5200,runnable,2026-08-29 02:13:19.000,1,0.0,WFC-APP-07,WarehouseDB,WaveController.Service,2026-08-29 02:13:20.000,2026-08-29 02:10:05.000,0,2026-08-29 02:17:00.000,<additional_info><request_identity><query_hash>0x9F2A7C4E1B0D8836</query_hash><query_plan_hash>0x4C1B9E7A2F5D3300</query_plan_hash><sql_handle>0x02000000C1A2B3D4E5F60718293A4B5C6D7E8F90A1B2C3D4</sql_handle><plan_handle>0x06000E00A1B2C3D4E5F60718293A4B5C6D7E8F90A1B2C3D4</plan_handle><statement_start_offset>0</statement_start_offset><statement_end_offset>-1</statement_end_offset><database_id>7</database_id></request_identity></additional_info>
00 00:03:08.000,73,UPDATE dbo.PickList SET Status = @p1 WHERE PickListId = @p2,svc_wave,LCK_M_U waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=186000 lastwaittype=LCK_M_U,44,0,0,58,112,0,0,320,suspended,2026-08-29 02:13:52.000,1,0.0,WFC-APP-07,WarehouseDB,WaveController.Service,2026-08-29 02:13:52.000,2026-08-29 02:11:40.000,0,2026-08-29 02:17:00.000,<additional_info><request_identity><query_hash>0x33AA55CC77EE9910</query_hash></request_identity></additional_info>
00 00:02:12.000,81,"SELECT pl.PickListId, pl.Status, pl.PickedQty FROM dbo.PickList AS pl WHERE pl.WaveId = @p1",svc_pickweb,LCK_M_S waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=120000 lastwaittype=LCK_M_S,27,0,0,73,30,0,0,210,suspended,,0,0.0,WFC-WEB-02,WarehouseDB,PickPortal.Web,2026-08-29 02:14:48.000,2026-08-29 02:12:00.000,0,2026-08-29 02:17:00.000,<additional_info><request_identity><query_hash>0x5C1177AA33BB0022</query_hash></request_identity></additional_info>
00 00:01:10.000,90,"UPDATE dbo.PickList SET Status = @p1, PickedQty = @p2 WHERE WaveId = @p3 AND LineId = @p4",svc_wave,LCK_M_X waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=61000 lastwaittype=LCK_M_X,25,0,0,58,55,0,0,300,suspended,2026-08-29 02:15:50.000,1,0.0,WFC-APP-09,WarehouseDB,WaveController.Service,2026-08-29 02:15:50.000,2026-08-29 02:14:30.000,0,2026-08-29 02:17:00.000,<additional_info><request_identity><query_hash>0x88DD22FF44AA6611</query_hash></request_identity></additional_info>
00 00:04:10.000,58,"UPDATE dbo.PickList SET Status = @p1, PickedQty = PickedQty + @p2 WHERE WaveId = @p3",svc_wave,,39100,8,8,,414000,139500,700,7300,running,2026-08-29 02:13:19.000,1,0.0,WFC-APP-07,WarehouseDB,WaveController.Service,2026-08-29 02:13:20.000,2026-08-29 02:10:05.000,0,2026-08-29 02:17:30.000,<additional_info><request_identity><query_hash>0x9F2A7C4E1B0D8836</query_hash><query_plan_hash>0x4C1B9E7A2F5D3300</query_plan_hash><sql_handle>0x02000000C1A2B3D4E5F60718293A4B5C6D7E8F90A1B2C3D4</sql_handle><plan_handle>0x06000E00A1B2C3D4E5F60718293A4B5C6D7E8F90A1B2C3D4</plan_handle><statement_start_offset>0</statement_start_offset><statement_end_offset>-1</statement_end_offset><database_id>7</database_id></request_identity></additional_info>
00 00:03:38.000,73,UPDATE dbo.PickList SET Status = @p1 WHERE PickListId = @p2,svc_wave,LCK_M_U waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=216000 lastwaittype=LCK_M_U,48,0,0,58,124,0,0,320,suspended,2026-08-29 02:13:52.000,1,0.0,WFC-APP-07,WarehouseDB,WaveController.Service,2026-08-29 02:13:52.000,2026-08-29 02:11:40.000,0,2026-08-29 02:17:30.000,<additional_info><request_identity><query_hash>0x33AA55CC77EE9910</query_hash></request_identity></additional_info>
00 00:02:42.000,81,"SELECT pl.PickListId, pl.Status, pl.PickedQty FROM dbo.PickList AS pl WHERE pl.WaveId = @p1",svc_pickweb,LCK_M_S waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=149000 lastwaittype=LCK_M_S,30,0,0,73,30,0,0,210,suspended,,0,0.0,WFC-WEB-02,WarehouseDB,PickPortal.Web,2026-08-29 02:14:48.000,2026-08-29 02:12:00.000,0,2026-08-29 02:17:30.000,<additional_info><request_identity><query_hash>0x5C1177AA33BB0022</query_hash></request_identity></additional_info>
00 00:01:40.000,90,"UPDATE dbo.PickList SET Status = @p1, PickedQty = @p2 WHERE WaveId = @p3 AND LineId = @p4",svc_wave,LCK_M_X waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=89000 lastwaittype=LCK_M_X,25,0,0,58,55,0,0,300,suspended,2026-08-29 02:15:50.000,1,0.0,WFC-APP-09,WarehouseDB,WaveController.Service,2026-08-29 02:15:50.000,2026-08-29 02:14:30.000,0,2026-08-29 02:17:30.000,<additional_info><request_identity><query_hash>0x88DD22FF44AA6611</query_hash></request_identity></additional_info>
00 00:00:08.000,104,SELECT COUNT(*) FROM dbo.PickList WHERE WaveId = @p1 AND Status = @p2,svc_pickweb,LCK_M_S waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=3000 lastwaittype=LCK_M_S,12,0,0,90,18,0,0,160,suspended,,0,0.0,WFC-WEB-05,WarehouseDB,PickPortal.Web,2026-08-29 02:17:22.000,2026-08-29 02:16:10.000,0,2026-08-29 02:17:30.000,<additional_info><request_identity><query_hash>0x0099AABBCCDD3344</query_hash></request_identity></additional_info>
00 00:04:40.000,58,"UPDATE dbo.PickList SET Status = @p1, PickedQty = PickedQty + @p2 WHERE WaveId = @p3",svc_wave,,43400,8,8,,456000,156000,520,6100,running,2026-08-29 02:13:19.000,1,0.0,WFC-APP-07,WarehouseDB,WaveController.Service,2026-08-29 02:13:20.000,2026-08-29 02:10:05.000,0,2026-08-29 02:18:00.000,<additional_info><request_identity><query_hash>0x9F2A7C4E1B0D8836</query_hash><query_plan_hash>0x4C1B9E7A2F5D3300</query_plan_hash><sql_handle>0x02000000C1A2B3D4E5F60718293A4B5C6D7E8F90A1B2C3D4</sql_handle><plan_handle>0x06000E00A1B2C3D4E5F60718293A4B5C6D7E8F90A1B2C3D4</plan_handle><statement_start_offset>0</statement_start_offset><statement_end_offset>-1</statement_end_offset><database_id>7</database_id></request_identity></additional_info>
00 00:04:08.000,73,UPDATE dbo.PickList SET Status = @p1 WHERE PickListId = @p2,svc_wave,LCK_M_U waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=246000 lastwaittype=LCK_M_U,52,0,0,58,136,0,0,320,suspended,2026-08-29 02:13:52.000,1,0.0,WFC-APP-07,WarehouseDB,WaveController.Service,2026-08-29 02:13:52.000,2026-08-29 02:11:40.000,0,2026-08-29 02:18:00.000,<additional_info><request_identity><query_hash>0x33AA55CC77EE9910</query_hash></request_identity></additional_info>
00 00:03:12.000,81,"SELECT pl.PickListId, pl.Status, pl.PickedQty FROM dbo.PickList AS pl WHERE pl.WaveId = @p1",svc_pickweb,LCK_M_S waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=178000 lastwaittype=LCK_M_S,33,0,0,73,30,0,0,210,suspended,,0,0.0,WFC-WEB-02,WarehouseDB,PickPortal.Web,2026-08-29 02:14:48.000,2026-08-29 02:12:00.000,0,2026-08-29 02:18:00.000,<additional_info><request_identity><query_hash>0x5C1177AA33BB0022</query_hash></request_identity></additional_info>
00 00:02:10.000,90,"UPDATE dbo.PickList SET Status = @p1, PickedQty = @p2 WHERE WaveId = @p3 AND LineId = @p4",svc_wave,LCK_M_X waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=117000 lastwaittype=LCK_M_X,25,0,0,58,55,0,0,300,suspended,2026-08-29 02:15:50.000,1,0.0,WFC-APP-09,WarehouseDB,WaveController.Service,2026-08-29 02:15:50.000,2026-08-29 02:14:30.000,0,2026-08-29 02:18:00.000,<additional_info><request_identity><query_hash>0x88DD22FF44AA6611</query_hash></request_identity></additional_info>
00 00:00:38.000,104,SELECT COUNT(*) FROM dbo.PickList WHERE WaveId = @p1 AND Status = @p2,svc_pickweb,LCK_M_S waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=30000 lastwaittype=LCK_M_S,12,0,0,90,18,0,0,160,suspended,,0,0.0,WFC-WEB-05,WarehouseDB,PickPortal.Web,2026-08-29 02:17:22.000,2026-08-29 02:16:10.000,0,2026-08-29 02:18:00.000,<additional_info><request_identity><query_hash>0x0099AABBCCDD3344</query_hash></request_identity></additional_info>
00 00:05:10.000,58,"UPDATE dbo.PickList SET Status = @p1, PickedQty = PickedQty + @p2 WHERE WaveId = @p3",svc_wave,,47700,8,8,,498000,172500,900,8200,runnable,2026-08-29 02:13:19.000,1,0.0,WFC-APP-07,WarehouseDB,WaveController.Service,2026-08-29 02:13:20.000,2026-08-29 02:10:05.000,0,2026-08-29 02:18:30.000,<additional_info><request_identity><query_hash>0x9F2A7C4E1B0D8836</query_hash><query_plan_hash>0x4C1B9E7A2F5D3300</query_plan_hash><sql_handle>0x02000000C1A2B3D4E5F60718293A4B5C6D7E8F90A1B2C3D4</sql_handle><plan_handle>0x06000E00A1B2C3D4E5F60718293A4B5C6D7E8F90A1B2C3D4</plan_handle><statement_start_offset>0</statement_start_offset><statement_end_offset>-1</statement_end_offset><database_id>7</database_id></request_identity></additional_info>
00 00:04:38.000,73,UPDATE dbo.PickList SET Status = @p1 WHERE PickListId = @p2,svc_wave,LCK_M_U waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=276000 lastwaittype=LCK_M_U,56,0,0,58,148,0,0,320,suspended,2026-08-29 02:13:52.000,1,0.0,WFC-APP-07,WarehouseDB,WaveController.Service,2026-08-29 02:13:52.000,2026-08-29 02:11:40.000,0,2026-08-29 02:18:30.000,<additional_info><request_identity><query_hash>0x33AA55CC77EE9910</query_hash></request_identity></additional_info>
00 00:03:42.000,81,"SELECT pl.PickListId, pl.Status, pl.PickedQty FROM dbo.PickList AS pl WHERE pl.WaveId = @p1",svc_pickweb,LCK_M_S waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=207000 lastwaittype=LCK_M_S,36,0,0,73,30,0,0,210,suspended,,0,0.0,WFC-WEB-02,WarehouseDB,PickPortal.Web,2026-08-29 02:14:48.000,2026-08-29 02:12:00.000,0,2026-08-29 02:18:30.000,<additional_info><request_identity><query_hash>0x5C1177AA33BB0022</query_hash></request_identity></additional_info>
00 00:02:40.000,90,"UPDATE dbo.PickList SET Status = @p1, PickedQty = @p2 WHERE WaveId = @p3 AND LineId = @p4",svc_wave,LCK_M_X waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=145000 lastwaittype=LCK_M_X,25,0,0,58,55,0,0,300,suspended,2026-08-29 02:15:50.000,1,0.0,WFC-APP-09,WarehouseDB,WaveController.Service,2026-08-29 02:15:50.000,2026-08-29 02:14:30.000,0,2026-08-29 02:18:30.000,<additional_info><request_identity><query_hash>0x88DD22FF44AA6611</query_hash></request_identity></additional_info>
00 00:01:08.000,104,SELECT COUNT(*) FROM dbo.PickList WHERE WaveId = @p1 AND Status = @p2,svc_pickweb,LCK_M_S waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=57000 lastwaittype=LCK_M_S,12,0,0,90,18,0,0,160,suspended,,0,0.0,WFC-WEB-05,WarehouseDB,PickPortal.Web,2026-08-29 02:17:22.000,2026-08-29 02:16:10.000,0,2026-08-29 02:18:30.000,<additional_info><request_identity><query_hash>0x0099AABBCCDD3344</query_hash></request_identity></additional_info>
00 00:05:40.000,58,"UPDATE dbo.PickList SET Status = @p1, PickedQty = PickedQty + @p2 WHERE WaveId = @p3",svc_wave,,52000,8,8,,540000,189000,610,7000,running,2026-08-29 02:13:19.000,1,0.0,WFC-APP-07,WarehouseDB,WaveController.Service,2026-08-29 02:13:20.000,2026-08-29 02:10:05.000,0,2026-08-29 02:19:00.000,<additional_info><request_identity><query_hash>0x9F2A7C4E1B0D8836</query_hash><query_plan_hash>0x4C1B9E7A2F5D3300</query_plan_hash><sql_handle>0x02000000C1A2B3D4E5F60718293A4B5C6D7E8F90A1B2C3D4</sql_handle><plan_handle>0x06000E00A1B2C3D4E5F60718293A4B5C6D7E8F90A1B2C3D4</plan_handle><statement_start_offset>0</statement_start_offset><statement_end_offset>-1</statement_end_offset><database_id>7</database_id></request_identity></additional_info>
00 00:05:08.000,73,UPDATE dbo.PickList SET Status = @p1 WHERE PickListId = @p2,svc_wave,LCK_M_U waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=306000 lastwaittype=LCK_M_U,60,0,0,58,160,0,0,320,suspended,2026-08-29 02:13:52.000,1,0.0,WFC-APP-07,WarehouseDB,WaveController.Service,2026-08-29 02:13:52.000,2026-08-29 02:11:40.000,0,2026-08-29 02:19:00.000,<additional_info><request_identity><query_hash>0x33AA55CC77EE9910</query_hash></request_identity></additional_info>
00 00:04:12.000,81,"SELECT pl.PickListId, pl.Status, pl.PickedQty FROM dbo.PickList AS pl WHERE pl.WaveId = @p1",svc_pickweb,LCK_M_S waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=236000 lastwaittype=LCK_M_S,39,0,0,73,30,0,0,210,suspended,,0,0.0,WFC-WEB-02,WarehouseDB,PickPortal.Web,2026-08-29 02:14:48.000,2026-08-29 02:12:00.000,0,2026-08-29 02:19:00.000,<additional_info><request_identity><query_hash>0x5C1177AA33BB0022</query_hash></request_identity></additional_info>
00 00:03:10.000,90,"UPDATE dbo.PickList SET Status = @p1, PickedQty = @p2 WHERE WaveId = @p3 AND LineId = @p4",svc_wave,LCK_M_X waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=173000 lastwaittype=LCK_M_X,25,0,0,58,55,0,0,300,suspended,2026-08-29 02:15:50.000,1,0.0,WFC-APP-09,WarehouseDB,WaveController.Service,2026-08-29 02:15:50.000,2026-08-29 02:14:30.000,0,2026-08-29 02:19:00.000,<additional_info><request_identity><query_hash>0x88DD22FF44AA6611</query_hash></request_identity></additional_info>
00 00:01:38.000,104,SELECT COUNT(*) FROM dbo.PickList WHERE WaveId = @p1 AND Status = @p2,svc_pickweb,LCK_M_S waitresource=KEY: 7:72057594045202432 (a1b2c3d4e5f6) waittime=84000 lastwaittype=LCK_M_S,12,0,0,90,18,0,0,160,suspended,,0,0.0,WFC-WEB-05,WarehouseDB,PickPortal.Web,2026-08-29 02:17:22.000,2026-08-29 02:16:10.000,0,2026-08-29 02:19:00.000,<additional_info><request_identity><query_hash>0x0099AABBCCDD3344</query_hash></request_identity></additional_info>
