dd hh:mm:ss.mss,session_id,sql_text,login_name,wait_info,CPU,tempdb_allocations,tempdb_current,blocking_session_id,reads,writes,physical_reads,used_memory,status,tran_start_time,open_tran_count,percent_complete,host_name,database_name,program_name,start_time,login_time,request_id,collection_time
00 00:00:01.000,140,SELECT TOP 200 * FROM dbo.ShipmentEvents WHERE EventDate BETWEEN @p1 AND @p2 ORDER BY EventDate DESC,svc_orders,,12,4,3,,448,2,2,413,sleeping,,0,0.0,RPT-WRK-01,ArchiveDB,AdHocQueryTool,2026-10-05 10:31:10.000,2026-10-05 05:30:00.000,0,2026-10-05 10:31:10.000
00 00:00:02.000,141,SELECT * FROM dbo.CustomerNotes WHERE Note LIKE '%priority%',dbo_admin,,10,0,0,,112,2,1,910,running,,0,0.0,APP-SVC-02,ArchiveDB,BatchJobRunner,2026-10-05 10:31:15.000,2026-10-04 15:30:00.000,0,2026-10-05 10:31:15.000
00 00:00:00.000,150,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_billing,,30,1,0,,612,10,1,579,sleeping,,0,0.0,RPT-WRK-01,BillingDB,SSIS-Package-NightlyLoad,2026-10-05 10:31:15.000,2026-10-04 22:30:00.000,0,2026-10-05 10:31:15.000
00 00:00:00.000,150,UPDATE dbo.InventoryLevels SET Qty = Qty - @p1 WHERE ItemId = @p2,svc_etl,,9,0,3,,671,10,3,659,running,,0,0.0,BATCH-SVC-05,InventoryDB,ReportingPortal.WebApp,2026-10-05 10:31:20.000,2026-10-04 22:30:00.000,0,2026-10-05 10:31:20.000
00 00:00:02.000,162,SELECT * FROM dbo.CustomerNotes WHERE Note LIKE '%priority%',dbo_admin,,16,4,2,,573,10,1,928,running,,0,0.0,ETL-WRK-03,ArchiveDB,BatchJobRunner,2026-10-05 10:31:25.000,2026-10-05 04:30:00.000,0,2026-10-05 10:31:25.000
00 00:00:01.000,150,"SELECT o.OrderId, o.Status, o.CreatedDate FROM dbo.Orders o WHERE o.CreatedDate >= @p1 AND o.Status = @p2",svc_etl,,21,0,3,,360,8,0,343,sleeping,,0,0.0,APP-SVC-02,OrdersDB,BatchJobRunner,2026-10-05 10:31:25.000,2026-10-04 22:30:00.000,0,2026-10-05 10:31:25.000
00 00:00:00.000,141,EXEC dbo.usp_RecalculateBillingCycle @AccountId = @p1,svc_orders,,30,2,3,,525,0,0,501,running,,0,0.0,WEB-NODE-08,AppDB01,ETL.HourlySync,2026-10-05 10:31:30.000,2026-10-04 15:30:00.000,0,2026-10-05 10:31:30.000
00 00:00:00.000,140,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_orders,,9,4,0,,462,8,0,670,sleeping,,0,0.0,WEB-NODE-07,BillingDB,ReportingPortal.WebApp,2026-10-05 10:31:30.000,2026-10-05 05:30:00.000,0,2026-10-05 10:31:30.000
00 00:00:01.000,141,SELECT TOP 200 * FROM dbo.ShipmentEvents WHERE EventDate BETWEEN @p1 AND @p2 ORDER BY EventDate DESC,svc_billing,,2,3,0,,334,6,4,957,running,,0,0.0,RPT-WRK-01,BillingDB,.Net SqlClient Data Provider,2026-10-05 10:31:35.000,2026-10-04 15:30:00.000,0,2026-10-05 10:31:35.000
00 00:00:02.000,140,SELECT TOP 200 * FROM dbo.ShipmentEvents WHERE EventDate BETWEEN @p1 AND @p2 ORDER BY EventDate DESC,app_batch,,13,4,0,,519,7,0,952,running,,0,0.0,APP-SVC-02,OrdersDB,SSIS-Package-NightlyLoad,2026-10-05 10:31:35.000,2026-10-05 05:30:00.000,0,2026-10-05 10:31:35.000
00 00:00:01.000,141,UPDATE dbo.InventoryLevels SET Qty = Qty - @p1 WHERE ItemId = @p2,dbo_admin,,20,0,0,,611,3,0,167,running,,0,0.0,BATCH-SVC-05,ArchiveDB,BatchJobRunner,2026-10-05 10:31:40.000,2026-10-04 15:30:00.000,0,2026-10-05 10:31:40.000
00 00:00:01.000,150,DELETE FROM dbo.StagingRows WHERE BatchId = @p1,svc_inventory,,5,3,0,,204,8,3,343,running,,0,0.0,APP-SVC-01,InventoryDB,.Net SqlClient Data Provider,2026-10-05 10:31:40.000,2026-10-04 22:30:00.000,0,2026-10-05 10:31:40.000
00 00:00:00.000,141,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_etl,,25,4,1,,430,9,0,748,sleeping,,0,0.0,APP-SVC-01,InventoryDB,BatchJobRunner,2026-10-05 10:31:45.000,2026-10-04 15:30:00.000,0,2026-10-05 10:31:45.000
00 00:00:01.000,162,SELECT COUNT(*) FROM dbo.EventLog WHERE ProcessedFlag = 0,svc_billing,,2,4,2,,228,0,0,440,sleeping,,0,0.0,RPT-WRK-01,StagingDB,AdHocQueryTool,2026-10-05 10:31:45.000,2026-10-05 04:30:00.000,0,2026-10-05 10:31:45.000
00 00:00:02.000,150,SELECT * FROM dbo.CustomerNotes WHERE Note LIKE '%priority%',svc_inventory,,7,1,3,,232,10,2,519,running,,0,0.0,WEB-NODE-08,AppDB01,SSIS-Package-NightlyLoad,2026-10-05 10:31:50.000,2026-10-04 22:30:00.000,0,2026-10-05 10:31:50.000
00 00:00:00.000,162,EXEC dbo.usp_RecalculateBillingCycle @AccountId = @p1,svc_orders,,7,3,2,,348,10,1,309,running,,0,0.0,ETL-WRK-03,ArchiveDB,ETL.HourlySync,2026-10-05 10:31:50.000,2026-10-05 04:30:00.000,0,2026-10-05 10:31:50.000
00 00:00:02.000,162,"INSERT INTO dbo.AuditTrail (EntityId, ChangeType, ChangedAt) VALUES (@p1, @p2, @p3)",app_batch,,2,2,2,,140,7,4,715,sleeping,,0,0.0,APP-SVC-01,InventoryDB,.Net SqlClient Data Provider,2026-10-05 10:31:55.000,2026-10-05 04:30:00.000,0,2026-10-05 10:31:55.000
00 00:00:02.000,140,"INSERT INTO dbo.AuditTrail (EntityId, ChangeType, ChangedAt) VALUES (@p1, @p2, @p3)",svc_billing,,16,2,1,,280,7,2,612,running,,0,0.0,APP-SVC-01,StagingDB,AdHocQueryTool,2026-10-05 10:31:55.000,2026-10-05 05:30:00.000,0,2026-10-05 10:31:55.000
00 00:00:01.000,141,SELECT * FROM dbo.CustomerNotes WHERE Note LIKE '%priority%',app_batch,,29,0,4,,262,2,0,863,running,,0,0.0,APP-SVC-01,ReportingDB,ReportingPortal.WebApp,2026-10-05 10:32:00.000,2026-10-04 15:30:00.000,0,2026-10-05 10:32:00.000
00 00:00:01.000,140,"SELECT AccountId, Balance FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_reporting,,21,0,2,,476,1,2,591,sleeping,,0,0.0,BATCH-SVC-05,StagingDB,MyApp.OrderService,2026-10-05 10:32:05.000,2026-10-05 05:30:00.000,0,2026-10-05 10:32:05.000
00 00:00:01.000,162,EXEC dbo.usp_LoadDailyExtract @RunDate = @p1,app_batch,,18,0,0,,322,8,4,812,running,,0,0.0,BATCH-SVC-05,OrdersDB,AdHocQueryTool,2026-10-05 10:32:05.000,2026-10-05 04:30:00.000,0,2026-10-05 10:32:05.000
00 00:00:01.000,140,DELETE FROM dbo.StagingRows WHERE BatchId = @p1,svc_etl,,30,2,3,,680,3,4,856,running,,0,0.0,APP-SVC-01,ReportingDB,MyApp.OrderService,2026-10-05 10:32:10.000,2026-10-05 05:30:00.000,0,2026-10-05 10:32:10.000
00 00:00:00.000,150,SELECT TOP 200 * FROM dbo.ShipmentEvents WHERE EventDate BETWEEN @p1 AND @p2 ORDER BY EventDate DESC,app_batch,,26,0,3,,597,10,2,700,running,,0,0.0,WEB-NODE-07,AppDB01,SSIS-Package-NightlyLoad,2026-10-05 10:32:10.000,2026-10-04 22:30:00.000,0,2026-10-05 10:32:10.000
00 00:00:01.000,150,SELECT * FROM dbo.CustomerNotes WHERE Note LIKE '%priority%',app_batch,,5,4,0,,302,8,2,222,sleeping,,0,0.0,APP-SVC-02,OrdersDB,AdHocQueryTool,2026-10-05 10:32:15.000,2026-10-04 22:30:00.000,0,2026-10-05 10:32:15.000
00 00:00:02.000,141,"INSERT INTO dbo.AuditTrail (EntityId, ChangeType, ChangedAt) VALUES (@p1, @p2, @p3)",svc_inventory,,7,3,4,,623,4,2,753,running,,0,0.0,BATCH-SVC-05,BillingDB,BatchJobRunner,2026-10-05 10:32:15.000,2026-10-04 15:30:00.000,0,2026-10-05 10:32:15.000
00 00:00:00.000,150,"SELECT ItemId, WarehouseId, Qty FROM dbo.InventoryLevels WHERE WarehouseId = @p1",svc_inventory,LCK_M_SCH_S waitresource=OBJECT: 6:833577859 waittime=180 lastwaittype=LCK_M_SCH_S,2,0,0,141.0,4,0,0,128,suspended,,0,0.0,APP-SVC-02,InventoryDB,MyApp.OrderService,2026-10-05 10:32:15.000,2026-10-04 22:30:00.000,0,2026-10-05 10:32:15.000
00 00:00:01.000,150,UPDATE dbo.InventoryLevels SET Qty = Qty - @p1 WHERE ItemId = @p2,svc_etl,,5,1,2,,569,1,1,655,running,,0,0.0,RPT-WRK-01,InventoryDB,BatchJobRunner,2026-10-05 10:32:20.000,2026-10-04 22:30:00.000,0,2026-10-05 10:32:20.000
00 00:00:00.000,162,"INSERT INTO dbo.AuditTrail (EntityId, ChangeType, ChangedAt) VALUES (@p1, @p2, @p3)",svc_inventory,,23,4,3,,184,4,4,832,running,,0,0.0,WEB-NODE-07,ArchiveDB,.Net SqlClient Data Provider,2026-10-05 10:32:20.000,2026-10-05 04:30:00.000,0,2026-10-05 10:32:20.000
00 00:00:00.000,162,"SELECT AccountId, Balance FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_orders,,17,0,2,,237,7,0,583,running,,0,0.0,WEB-NODE-07,ArchiveDB,ETL.HourlySync,2026-10-05 10:32:25.000,2026-10-05 04:30:00.000,0,2026-10-05 10:32:25.000
00 00:00:00.000,141,EXEC dbo.usp_RecalculateBillingCycle @AccountId = @p1,svc_orders,,9,0,2,,438,0,3,607,sleeping,,0,0.0,WEB-NODE-08,BillingDB,.Net SqlClient Data Provider,2026-10-05 10:32:30.000,2026-10-04 15:30:00.000,0,2026-10-05 10:32:30.000
00 00:00:02.000,150,SELECT * FROM dbo.CustomerNotes WHERE Note LIKE '%priority%',svc_etl,,27,4,0,,262,1,3,771,sleeping,,0,0.0,WEB-NODE-07,AppDB01,ETL.HourlySync,2026-10-05 10:32:35.000,2026-10-04 22:30:00.000,0,2026-10-05 10:32:35.000
00 00:00:00.000,140,"INSERT INTO dbo.AuditTrail (EntityId, ChangeType, ChangedAt) VALUES (@p1, @p2, @p3)",svc_billing,,8,4,4,,308,3,2,782,sleeping,,0,0.0,APP-SVC-01,InventoryDB,ReportingPortal.WebApp,2026-10-05 10:32:40.000,2026-10-05 05:30:00.000,0,2026-10-05 10:32:40.000
00 00:00:01.000,150,UPDATE dbo.Orders SET Status = @p1 WHERE OrderId = @p2,dbo_admin,,9,4,3,,133,9,2,665,sleeping,,0,0.0,WEB-NODE-08,InventoryDB,ReportingPortal.WebApp,2026-10-05 10:32:40.000,2026-10-04 22:30:00.000,0,2026-10-05 10:32:40.000
00 00:00:01.000,141,UPDATE dbo.Orders SET Status = @p1 WHERE OrderId = @p2,app_batch,,8,1,1,,92,2,1,133,sleeping,,0,0.0,APP-SVC-01,BillingDB,MyApp.OrderService,2026-10-05 10:32:45.000,2026-10-04 15:30:00.000,0,2026-10-05 10:32:45.000
00 00:00:01.000,162,"SELECT AccountId, Balance FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_reporting,,26,4,4,,618,6,0,821,sleeping,,0,0.0,APP-SVC-02,OrdersDB,.Net SqlClient Data Provider,2026-10-05 10:32:50.000,2026-10-05 04:30:00.000,0,2026-10-05 10:32:50.000
00 00:00:00.000,150,SELECT TOP 200 * FROM dbo.ShipmentEvents WHERE EventDate BETWEEN @p1 AND @p2 ORDER BY EventDate DESC,dbo_admin,,5,0,3,,221,2,1,249,sleeping,,0,0.0,APP-SVC-01,OrdersDB,MyApp.OrderService,2026-10-05 10:32:50.000,2026-10-04 22:30:00.000,0,2026-10-05 10:32:50.000
00 00:00:00.000,150,SELECT TOP 200 * FROM dbo.ShipmentEvents WHERE EventDate BETWEEN @p1 AND @p2 ORDER BY EventDate DESC,dbo_admin,,10,3,2,,455,1,2,370,running,,0,0.0,WEB-NODE-08,OrdersDB,AdHocQueryTool,2026-10-05 10:32:55.000,2026-10-04 22:30:00.000,0,2026-10-05 10:32:55.000
00 00:00:02.000,162,"SELECT AccountId, Balance FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_orders,,29,0,0,,308,9,1,588,running,,0,0.0,WEB-NODE-08,StagingDB,ReportingPortal.WebApp,2026-10-05 10:32:55.000,2026-10-05 04:30:00.000,0,2026-10-05 10:32:55.000
00 00:00:02.000,150,"SELECT AccountId, Balance FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",dbo_admin,,24,2,1,,484,4,0,583,running,,0,0.0,WEB-NODE-08,ReportingDB,ETL.HourlySync,2026-10-05 10:33:00.000,2026-10-04 22:30:00.000,0,2026-10-05 10:33:00.000
00 00:00:00.000,162,SELECT TOP 200 * FROM dbo.ShipmentEvents WHERE EventDate BETWEEN @p1 AND @p2 ORDER BY EventDate DESC,app_batch,,29,0,1,,419,2,1,637,sleeping,,0,0.0,WEB-NODE-08,BillingDB,AdHocQueryTool,2026-10-05 10:33:05.000,2026-10-05 04:30:00.000,0,2026-10-05 10:33:05.000
00 00:00:02.000,150,"SELECT o.OrderId, o.Status, o.CreatedDate FROM dbo.Orders o WHERE o.CreatedDate >= @p1 AND o.Status = @p2",svc_orders,,20,3,4,,121,7,4,257,running,,0,0.0,APP-SVC-01,StagingDB,ReportingPortal.WebApp,2026-10-05 10:33:05.000,2026-10-04 22:30:00.000,0,2026-10-05 10:33:05.000
00 00:00:02.000,141,UPDATE dbo.InventoryLevels SET Qty = Qty - @p1 WHERE ItemId = @p2,svc_reporting,,23,2,4,,509,8,3,266,sleeping,,0,0.0,WEB-NODE-07,AppDB01,.Net SqlClient Data Provider,2026-10-05 10:33:10.000,2026-10-04 15:30:00.000,0,2026-10-05 10:33:10.000
00 00:00:02.000,140,UPDATE dbo.Orders SET Status = @p1 WHERE OrderId = @p2,svc_orders,,19,0,4,,599,7,2,567,running,,0,0.0,ETL-WRK-03,InventoryDB,ReportingPortal.WebApp,2026-10-05 10:33:10.000,2026-10-05 05:30:00.000,0,2026-10-05 10:33:10.000
00 00:00:00.000,141,"SELECT ItemId, WarehouseId, Qty FROM dbo.InventoryLevels WHERE WarehouseId = @p1",svc_inventory,,18,3,1,,231,6,1,336,running,,0,0.0,RPT-WRK-01,ArchiveDB,ReportingPortal.WebApp,2026-10-05 10:33:15.000,2026-10-04 15:30:00.000,0,2026-10-05 10:33:15.000
00 00:00:00.000,150,"SELECT o.OrderId, o.Status, o.CreatedDate FROM dbo.Orders o WHERE o.CreatedDate >= @p1 AND o.Status = @p2",dbo_admin,,9,4,0,,467,8,0,721,running,,0,0.0,WEB-NODE-08,InventoryDB,SSIS-Package-NightlyLoad,2026-10-05 10:33:20.000,2026-10-04 22:30:00.000,0,2026-10-05 10:33:20.000
00 00:00:01.000,141,"INSERT INTO dbo.AuditTrail (EntityId, ChangeType, ChangedAt) VALUES (@p1, @p2, @p3)",svc_orders,,12,2,3,,131,8,2,768,running,,0,0.0,ETL-WRK-03,BillingDB,MyApp.OrderService,2026-10-05 10:33:25.000,2026-10-04 15:30:00.000,0,2026-10-05 10:33:25.000
00 00:00:01.000,141,"SELECT AccountId, Balance FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_etl,,7,3,4,,319,0,0,953,running,,0,0.0,ETL-WRK-03,StagingDB,ETL.HourlySync,2026-10-05 10:33:30.000,2026-10-04 15:30:00.000,0,2026-10-05 10:33:30.000
00 00:00:01.000,150,SELECT TOP 200 * FROM dbo.ShipmentEvents WHERE EventDate BETWEEN @p1 AND @p2 ORDER BY EventDate DESC,svc_billing,,16,3,4,,655,7,0,493,running,,0,0.0,ETL-WRK-03,ArchiveDB,MyApp.OrderService,2026-10-05 10:33:30.000,2026-10-04 22:30:00.000,0,2026-10-05 10:33:30.000
00 00:00:00.000,141,SELECT TOP 200 * FROM dbo.ShipmentEvents WHERE EventDate BETWEEN @p1 AND @p2 ORDER BY EventDate DESC,dbo_admin,,12,3,3,,333,10,2,782,sleeping,,0,0.0,WEB-NODE-07,BillingDB,ETL.HourlySync,2026-10-05 10:33:35.000,2026-10-04 15:30:00.000,0,2026-10-05 10:33:35.000
00 00:00:02.000,150,SELECT * FROM dbo.CustomerNotes WHERE Note LIKE '%priority%',svc_reporting,,1,0,3,,206,10,0,852,running,,0,0.0,WEB-NODE-07,StagingDB,ETL.HourlySync,2026-10-05 10:33:35.000,2026-10-04 22:30:00.000,0,2026-10-05 10:33:35.000
00 00:00:01.000,162,"INSERT INTO dbo.AuditTrail (EntityId, ChangeType, ChangedAt) VALUES (@p1, @p2, @p3)",svc_orders,,19,1,2,,149,4,3,426,sleeping,,0,0.0,WEB-NODE-08,ArchiveDB,BatchJobRunner,2026-10-05 10:33:40.000,2026-10-05 04:30:00.000,0,2026-10-05 10:33:40.000
00 00:00:01.000,150,DELETE FROM dbo.StagingRows WHERE BatchId = @p1,app_batch,,17,2,0,,590,9,2,937,sleeping,,0,0.0,ETL-WRK-03,OrdersDB,AdHocQueryTool,2026-10-05 10:33:40.000,2026-10-04 22:30:00.000,0,2026-10-05 10:33:40.000
00 00:00:01.000,162,SELECT COUNT(*) FROM dbo.EventLog WHERE ProcessedFlag = 0,svc_orders,,5,4,0,,517,10,0,588,running,,0,0.0,ETL-WRK-03,OrdersDB,MyApp.OrderService,2026-10-05 10:33:45.000,2026-10-05 04:30:00.000,0,2026-10-05 10:33:45.000
00 00:00:01.000,141,UPDATE dbo.InventoryLevels SET Qty = Qty - @p1 WHERE ItemId = @p2,dbo_admin,,7,1,0,,191,1,1,617,running,,0,0.0,WEB-NODE-08,ReportingDB,AdHocQueryTool,2026-10-05 10:33:45.000,2026-10-04 15:30:00.000,0,2026-10-05 10:33:45.000
00 00:00:00.000,150,EXEC dbo.usp_RecalculateBillingCycle @AccountId = @p1,svc_orders,,14,1,1,,313,7,2,153,running,,0,0.0,RPT-WRK-01,OrdersDB,ETL.HourlySync,2026-10-05 10:33:50.000,2026-10-04 22:30:00.000,0,2026-10-05 10:33:50.000
00 00:00:01.000,141,DELETE FROM dbo.StagingRows WHERE BatchId = @p1,dbo_admin,,13,0,1,,605,1,4,527,sleeping,,0,0.0,ETL-WRK-03,OrdersDB,.Net SqlClient Data Provider,2026-10-05 10:33:50.000,2026-10-04 15:30:00.000,0,2026-10-05 10:33:50.000
00 00:00:00.000,140,SELECT * FROM dbo.CustomerNotes WHERE Note LIKE '%priority%',svc_orders,,18,4,4,,130,0,4,810,sleeping,,0,0.0,WEB-NODE-07,BillingDB,SSIS-Package-NightlyLoad,2026-10-05 10:33:55.000,2026-10-05 05:30:00.000,0,2026-10-05 10:33:55.000
