dd hh:mm:ss.mss,session_id,sql_text,login_name,wait_info,CPU,tempdb_allocations,tempdb_current,blocking_session_id,reads,writes,physical_reads,used_memory,status,tran_start_time,open_tran_count,percent_complete,host_name,database_name,program_name,start_time,login_time,request_id,collection_time,sql_command,tasks,context_switches,physical_io,locks,additional_info
00 00:00:02.000,56,SELECT TOP 200 * FROM dbo.ShipmentEvents WHERE EventDate BETWEEN @p1 AND @p2 ORDER BY EventDate DESC,svc_reporting,ASYNC_NETWORK_IO,15,4,4,,350,7,4,832,running,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-07-14 09:00:46.000,2026-07-13 06:00:00.000,0,2026-07-14 09:00:48.000,SELECT TOP 200 * FROM dbo.ShipmentEvents WHERE EventDate BETWEEN @p1 AND @p2 ORDER BY EventDate DESC,1,33,2,,
00 00:00:03.000,61,"SELECT ItemId, WarehouseId, Qty FROM dbo.InventoryLevels WHERE WarehouseId = @p1",svc_etl,,20,0,30,,732,2,2,762,sleeping,,1,0.0,ETL-WRK-03,StagingDB,ETL.HourlySync,2026-07-14 09:00:45.000,2026-07-13 11:00:00.000,0,2026-07-14 09:00:48.000,"SELECT ItemId, WarehouseId, Qty FROM dbo.InventoryLevels WHERE WarehouseId = @p1",1,33,8,,
00 00:00:02.000,55,"MERGE dbo.ReportingSnapshot AS tgt USING dbo.Orders AS src ON tgt.OrderId = src.OrderId WHEN MATCHED THEN UPDATE SET tgt.Status = src.Status WHEN NOT MATCHED THEN INSERT (OrderId, Status) VALUES (src.OrderId, src.Status)",svc_orders,,29,17,21,,499,10,1,1711,sleeping,,0,0.0,APP-SVC-01,OrdersDB,MyApp.OrderService,2026-07-14 09:00:52.000,2026-07-12 18:00:00.000,0,2026-07-14 09:00:54.000,"MERGE dbo.ReportingSnapshot AS tgt USING dbo.Orders AS src ON tgt.OrderId = src.OrderId WHEN MATCHED THEN UPDATE SET tgt.Status = src.Status WHEN NOT MATCHED THEN INSERT (OrderId, Status) VALUES (src.OrderId, src.Status)",1,157,3,,
00 00:00:00.000,56,SELECT TOP 200 * FROM dbo.ShipmentEvents WHERE EventDate BETWEEN @p1 AND @p2 ORDER BY EventDate DESC,svc_reporting,,4,7,21,,599,2,4,4008,sleeping,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-07-14 09:00:54.000,2026-07-13 06:00:00.000,0,2026-07-14 09:00:54.000,SELECT TOP 200 * FROM dbo.ShipmentEvents WHERE EventDate BETWEEN @p1 AND @p2 ORDER BY EventDate DESC,1,378,6,KEY: OBJECT: shared 1,
00 00:00:03.000,70,DELETE FROM dbo.StagingRows WHERE BatchId = @p1,app_batch,ASYNC_NETWORK_IO,35,1,18,,383,3,1,2961,running,,0,0.0,BATCH-SVC-05,ArchiveDB,BatchJobRunner,2026-07-14 09:00:57.000,2026-07-14 04:00:00.000,0,2026-07-14 09:01:00.000,DELETE FROM dbo.StagingRows WHERE BatchId = @p1,1,90,11,,
00 00:00:00.000,61,SELECT COUNT(*) FROM dbo.EventLog WHERE ProcessedFlag = 0,svc_etl,ASYNC_NETWORK_IO,8,5,30,,260,12,4,1888,sleeping,,0,0.0,ETL-WRK-03,StagingDB,ETL.HourlySync,2026-07-14 09:01:06.000,2026-07-13 11:00:00.000,0,2026-07-14 09:01:06.000,SELECT COUNT(*) FROM dbo.EventLog WHERE ProcessedFlag = 0,1,58,8,,
00 00:00:03.000,55,UPDATE dbo.Orders SET Status = @p1 WHERE OrderId = @p2,svc_orders,,26,19,17,,587,12,3,1696,sleeping,,1,0.0,APP-SVC-01,OrdersDB,MyApp.OrderService,2026-07-14 09:01:03.000,2026-07-12 18:00:00.000,0,2026-07-14 09:01:06.000,UPDATE dbo.Orders SET Status = @p1 WHERE OrderId = @p2,1,327,12,KEY: OBJECT: shared 1,
00 00:00:00.000,70,UPDATE dbo.Orders SET Status = @p1 WHERE OrderId = @p2,app_batch,,14,20,15,,18,0,2,1887,running,,0,0.0,BATCH-SVC-05,ArchiveDB,BatchJobRunner,2026-07-14 09:01:12.000,2026-07-14 04:00:00.000,0,2026-07-14 09:01:12.000,UPDATE dbo.Orders SET Status = @p1 WHERE OrderId = @p2,1,34,3,KEY: OBJECT: shared 1,
00 00:00:02.000,56,"SELECT AccountId, Balance FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_reporting,,20,5,13,,458,9,4,2122,sleeping,,1,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-07-14 09:01:10.000,2026-07-13 06:00:00.000,0,2026-07-14 09:01:12.000,"SELECT AccountId, Balance FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",1,60,1,KEY: OBJECT: shared 1,
00 00:00:03.000,61,UPDATE dbo.Orders SET Status = @p1 WHERE OrderId = @p2,svc_etl,,30,6,16,,541,0,3,3841,running,,0,0.0,ETL-WRK-03,StagingDB,ETL.HourlySync,2026-07-14 09:01:15.000,2026-07-13 11:00:00.000,0,2026-07-14 09:01:18.000,UPDATE dbo.Orders SET Status = @p1 WHERE OrderId = @p2,1,269,6,,
00 00:00:00.000,55,DELETE FROM dbo.StagingRows WHERE BatchId = @p1,svc_orders,,37,12,35,,214,2,1,3858,sleeping,,0,0.0,APP-SVC-01,OrdersDB,MyApp.OrderService,2026-07-14 09:01:18.000,2026-07-12 18:00:00.000,0,2026-07-14 09:01:18.000,DELETE FROM dbo.StagingRows WHERE BatchId = @p1,1,210,12,,
00 00:00:01.000,82,SELECT COUNT(*) FROM dbo.EventLog WHERE ProcessedFlag = 0,svc_inventory,ASYNC_NETWORK_IO,7,0,34,,571,14,2,3991,sleeping,,0,0.0,APP-SVC-02,InventoryDB,MyApp.OrderService,2026-07-14 09:01:23.000,2026-07-14 06:00:00.000,0,2026-07-14 09:01:24.000,SELECT COUNT(*) FROM dbo.EventLog WHERE ProcessedFlag = 0,1,182,5,KEY: OBJECT: shared 1,
00 00:00:01.000,55,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_orders,,15,15,36,,385,1,2,1553,running,,1,0.0,APP-SVC-01,OrdersDB,MyApp.OrderService,2026-07-14 09:01:29.000,2026-07-12 18:00:00.000,0,2026-07-14 09:01:30.000,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",1,382,0,KEY: OBJECT: shared 1,
00 00:00:00.000,61,SELECT TOP 200 * FROM dbo.ShipmentEvents WHERE EventDate BETWEEN @p1 AND @p2 ORDER BY EventDate DESC,svc_etl,,9,13,39,,340,2,3,3992,running,,0,0.0,ETL-WRK-03,StagingDB,ETL.HourlySync,2026-07-14 09:01:36.000,2026-07-13 11:00:00.000,0,2026-07-14 09:01:36.000,SELECT TOP 200 * FROM dbo.ShipmentEvents WHERE EventDate BETWEEN @p1 AND @p2 ORDER BY EventDate DESC,1,373,10,,
00 00:00:03.000,82,"MERGE dbo.ReportingSnapshot AS tgt USING dbo.Orders AS src ON tgt.OrderId = src.OrderId WHEN MATCHED THEN UPDATE SET tgt.Status = src.Status WHEN NOT MATCHED THEN INSERT (OrderId, Status) VALUES (src.OrderId, src.Status)",svc_inventory,,2,3,16,,722,15,1,911,sleeping,,0,0.0,APP-SVC-02,InventoryDB,MyApp.OrderService,2026-07-14 09:01:33.000,2026-07-14 06:00:00.000,0,2026-07-14 09:01:36.000,"MERGE dbo.ReportingSnapshot AS tgt USING dbo.Orders AS src ON tgt.OrderId = src.OrderId WHEN MATCHED THEN UPDATE SET tgt.Status = src.Status WHEN NOT MATCHED THEN INSERT (OrderId, Status) VALUES (src.OrderId, src.Status)",1,202,2,,
00 00:00:01.000,56,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",svc_reporting,,20,14,7,,58,9,5,1339,running,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-07-14 09:01:41.000,2026-07-13 06:00:00.000,0,2026-07-14 09:01:42.000,"SELECT c.CustomerId, c.Name, SUM(o.Total) FROM dbo.Customers c JOIN dbo.Orders o ON o.CustomerId = c.CustomerId GROUP BY c.CustomerId, c.Name",1,303,7,KEY: OBJECT: shared 1,
00 00:00:00.000,56,UPDATE dbo.InventoryLevels SET Qty = Qty - @p1 WHERE ItemId = @p2,svc_reporting,,37,14,32,,332,1,2,922,sleeping,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-07-14 09:01:48.000,2026-07-13 06:00:00.000,0,2026-07-14 09:01:48.000,UPDATE dbo.InventoryLevels SET Qty = Qty - @p1 WHERE ItemId = @p2,1,52,12,,
00 00:00:02.000,55,"SELECT ItemId, WarehouseId, Qty FROM dbo.InventoryLevels WHERE WarehouseId = @p1",svc_orders,ASYNC_NETWORK_IO,27,20,7,,184,5,3,4078,sleeping,,0,0.0,APP-SVC-01,OrdersDB,MyApp.OrderService,2026-07-14 09:01:46.000,2026-07-12 18:00:00.000,0,2026-07-14 09:01:48.000,"SELECT ItemId, WarehouseId, Qty FROM dbo.InventoryLevels WHERE WarehouseId = @p1",1,182,10,,
00 00:00:02.000,61,EXEC dbo.usp_LoadDailyExtract @RunDate = @p1,svc_etl,,23,13,39,,236,7,5,1204,sleeping,,0,0.0,ETL-WRK-03,StagingDB,ETL.HourlySync,2026-07-14 09:01:46.000,2026-07-13 11:00:00.000,0,2026-07-14 09:01:48.000,EXEC dbo.usp_LoadDailyExtract @RunDate = @p1,1,243,12,,
00 00:00:01.000,70,"SELECT o.OrderId, o.Status, o.CreatedDate FROM dbo.Orders o WHERE o.CreatedDate >= @p1 AND o.Status = @p2",app_batch,,17,1,0,,787,10,3,846,running,,0,0.0,BATCH-SVC-05,ArchiveDB,BatchJobRunner,2026-07-14 09:01:53.000,2026-07-14 04:00:00.000,0,2026-07-14 09:01:54.000,"SELECT o.OrderId, o.Status, o.CreatedDate FROM dbo.Orders o WHERE o.CreatedDate >= @p1 AND o.Status = @p2",1,26,5,KEY: OBJECT: shared 1,
00 00:00:03.000,82,SELECT COUNT(*) FROM dbo.EventLog WHERE ProcessedFlag = 0,svc_inventory,,13,10,2,,601,9,2,3661,running,,0,0.0,APP-SVC-02,InventoryDB,MyApp.OrderService,2026-07-14 09:01:57.000,2026-07-14 06:00:00.000,0,2026-07-14 09:02:00.000,SELECT COUNT(*) FROM dbo.EventLog WHERE ProcessedFlag = 0,1,93,9,,
00 00:00:01.000,61,"INSERT INTO dbo.AuditTrail (EntityId, ChangeType, ChangedAt) VALUES (@p1, @p2, @p3)",svc_etl,ASYNC_NETWORK_IO,20,0,4,,784,12,1,2162,sleeping,,0,0.0,ETL-WRK-03,StagingDB,ETL.HourlySync,2026-07-14 09:01:59.000,2026-07-13 11:00:00.000,0,2026-07-14 09:02:00.000,"INSERT INTO dbo.AuditTrail (EntityId, ChangeType, ChangedAt) VALUES (@p1, @p2, @p3)",1,231,10,,
00 00:00:03.000,55,UPDATE dbo.InventoryLevels SET Qty = Qty - @p1 WHERE ItemId = @p2,svc_orders,,34,3,37,,237,6,2,956,running,,0,0.0,APP-SVC-01,OrdersDB,MyApp.OrderService,2026-07-14 09:02:03.000,2026-07-12 18:00:00.000,0,2026-07-14 09:02:06.000,UPDATE dbo.InventoryLevels SET Qty = Qty - @p1 WHERE ItemId = @p2,1,129,12,KEY: OBJECT: shared 1,
00 00:00:01.000,55,UPDATE dbo.InventoryLevels SET Qty = Qty - @p1 WHERE ItemId = @p2,svc_orders,,23,18,30,,689,11,0,2107,sleeping,,1,0.0,APP-SVC-01,OrdersDB,MyApp.OrderService,2026-07-14 09:02:11.000,2026-07-12 18:00:00.000,0,2026-07-14 09:02:12.000,UPDATE dbo.InventoryLevels SET Qty = Qty - @p1 WHERE ItemId = @p2,1,160,11,,
00 00:00:02.000,82,SELECT COUNT(*) FROM dbo.EventLog WHERE ProcessedFlag = 0,svc_inventory,,20,16,18,,284,9,2,2464,sleeping,,0,0.0,APP-SVC-02,InventoryDB,MyApp.OrderService,2026-07-14 09:02:10.000,2026-07-14 06:00:00.000,0,2026-07-14 09:02:12.000,SELECT COUNT(*) FROM dbo.EventLog WHERE ProcessedFlag = 0,1,368,7,KEY: OBJECT: shared 1,
00 00:00:03.000,82,"SELECT o.OrderId, o.Status, o.CreatedDate FROM dbo.Orders o WHERE o.CreatedDate >= @p1 AND o.Status = @p2",svc_inventory,,6,16,21,,142,0,0,1373,sleeping,,0,0.0,APP-SVC-02,InventoryDB,MyApp.OrderService,2026-07-14 09:02:15.000,2026-07-14 06:00:00.000,0,2026-07-14 09:02:18.000,"SELECT o.OrderId, o.Status, o.CreatedDate FROM dbo.Orders o WHERE o.CreatedDate >= @p1 AND o.Status = @p2",1,97,4,,
00 00:00:02.000,70,"SELECT ItemId, WarehouseId, Qty FROM dbo.InventoryLevels WHERE WarehouseId = @p1",app_batch,,37,5,17,,850,1,5,3242,sleeping,,0,0.0,BATCH-SVC-05,ArchiveDB,BatchJobRunner,2026-07-14 09:02:16.000,2026-07-14 04:00:00.000,0,2026-07-14 09:02:18.000,"SELECT ItemId, WarehouseId, Qty FROM dbo.InventoryLevels WHERE WarehouseId = @p1",1,256,6,,
00 00:00:03.000,61,SELECT * FROM dbo.CustomerNotes WHERE Note LIKE '%priority%',svc_etl,,9,13,23,,642,3,1,3920,sleeping,,0,0.0,ETL-WRK-03,StagingDB,ETL.HourlySync,2026-07-14 09:02:15.000,2026-07-13 11:00:00.000,0,2026-07-14 09:02:18.000,SELECT * FROM dbo.CustomerNotes WHERE Note LIKE '%priority%',1,61,8,KEY: OBJECT: shared 1,
00 00:00:03.000,55,EXEC dbo.usp_RecalculateBillingCycle @AccountId = @p1,svc_orders,,40,0,18,,277,11,3,3289,sleeping,,0,0.0,APP-SVC-01,OrdersDB,MyApp.OrderService,2026-07-14 09:02:21.000,2026-07-12 18:00:00.000,0,2026-07-14 09:02:24.000,EXEC dbo.usp_RecalculateBillingCycle @AccountId = @p1,1,96,1,KEY: OBJECT: shared 1,
00 00:00:02.000,56,SELECT * FROM dbo.CustomerNotes WHERE Note LIKE '%priority%',svc_reporting,ASYNC_NETWORK_IO,2,17,39,,117,13,1,3795,running,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-07-14 09:02:28.000,2026-07-13 06:00:00.000,0,2026-07-14 09:02:30.000,SELECT * FROM dbo.CustomerNotes WHERE Note LIKE '%priority%',1,314,3,,
00 00:00:00.000,70,EXEC dbo.usp_LoadDailyExtract @RunDate = @p1,app_batch,,22,18,32,,104,11,4,4096,running,,0,0.0,BATCH-SVC-05,ArchiveDB,BatchJobRunner,2026-07-14 09:02:36.000,2026-07-14 04:00:00.000,0,2026-07-14 09:02:36.000,EXEC dbo.usp_LoadDailyExtract @RunDate = @p1,1,72,7,KEY: OBJECT: shared 1,
00 00:00:02.000,82,"SELECT AccountId, Balance FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_inventory,ASYNC_NETWORK_IO,12,5,28,,286,4,5,1896,sleeping,,0,0.0,APP-SVC-02,InventoryDB,MyApp.OrderService,2026-07-14 09:02:40.000,2026-07-14 06:00:00.000,0,2026-07-14 09:02:42.000,"SELECT AccountId, Balance FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",1,203,7,KEY: OBJECT: shared 1,
00 00:00:00.000,56,"SELECT AccountId, Balance FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_reporting,,25,3,19,,149,6,2,4001,running,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-07-14 09:02:42.000,2026-07-13 06:00:00.000,0,2026-07-14 09:02:42.000,"SELECT AccountId, Balance FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",1,137,2,,
00 00:00:03.000,55,"SELECT AccountId, Balance FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_orders,,3,17,18,,315,8,0,406,running,,0,0.0,APP-SVC-01,OrdersDB,MyApp.OrderService,2026-07-14 09:02:45.000,2026-07-12 18:00:00.000,0,2026-07-14 09:02:48.000,"SELECT AccountId, Balance FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",1,203,8,KEY: OBJECT: shared 1,
00 00:00:02.000,56,"SELECT o.OrderId, o.Status, o.CreatedDate FROM dbo.Orders o WHERE o.CreatedDate >= @p1 AND o.Status = @p2",svc_reporting,ASYNC_NETWORK_IO,6,14,34,,741,15,1,3844,sleeping,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-07-14 09:02:52.000,2026-07-13 06:00:00.000,0,2026-07-14 09:02:54.000,"SELECT o.OrderId, o.Status, o.CreatedDate FROM dbo.Orders o WHERE o.CreatedDate >= @p1 AND o.Status = @p2",1,153,6,KEY: OBJECT: shared 1,
00 00:00:00.000,70,"SELECT o.OrderId, o.Status, o.CreatedDate FROM dbo.Orders o WHERE o.CreatedDate >= @p1 AND o.Status = @p2",app_batch,ASYNC_NETWORK_IO,28,17,6,,777,0,1,693,sleeping,,1,0.0,BATCH-SVC-05,ArchiveDB,BatchJobRunner,2026-07-14 09:02:54.000,2026-07-14 04:00:00.000,0,2026-07-14 09:02:54.000,"SELECT o.OrderId, o.Status, o.CreatedDate FROM dbo.Orders o WHERE o.CreatedDate >= @p1 AND o.Status = @p2",1,287,1,,
00 00:00:02.000,55,"INSERT INTO dbo.AuditTrail (EntityId, ChangeType, ChangedAt) VALUES (@p1, @p2, @p3)",svc_orders,,10,16,30,,440,8,0,2822,sleeping,,0,0.0,APP-SVC-01,OrdersDB,MyApp.OrderService,2026-07-14 09:02:52.000,2026-07-12 18:00:00.000,0,2026-07-14 09:02:54.000,"INSERT INTO dbo.AuditTrail (EntityId, ChangeType, ChangedAt) VALUES (@p1, @p2, @p3)",1,136,7,KEY: OBJECT: shared 1,
00 00:00:02.000,82,"INSERT INTO dbo.AuditTrail (EntityId, ChangeType, ChangedAt) VALUES (@p1, @p2, @p3)",svc_inventory,,33,5,3,,90,15,3,1470,sleeping,,1,0.0,APP-SVC-02,InventoryDB,MyApp.OrderService,2026-07-14 09:02:58.000,2026-07-14 06:00:00.000,0,2026-07-14 09:03:00.000,"INSERT INTO dbo.AuditTrail (EntityId, ChangeType, ChangedAt) VALUES (@p1, @p2, @p3)",1,381,9,KEY: OBJECT: shared 1,
00 00:00:03.000,56,UPDATE dbo.Orders SET Status = @p1 WHERE OrderId = @p2,svc_reporting,,12,4,34,,687,1,2,1166,sleeping,,1,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-07-14 09:02:57.000,2026-07-13 06:00:00.000,0,2026-07-14 09:03:00.000,UPDATE dbo.Orders SET Status = @p1 WHERE OrderId = @p2,1,70,0,KEY: OBJECT: shared 1,
00 00:00:01.000,82,EXEC dbo.usp_LoadDailyExtract @RunDate = @p1,svc_inventory,,3,16,6,,713,8,3,3971,running,,0,0.0,APP-SVC-02,InventoryDB,MyApp.OrderService,2026-07-14 09:03:05.000,2026-07-14 06:00:00.000,0,2026-07-14 09:03:06.000,EXEC dbo.usp_LoadDailyExtract @RunDate = @p1,1,58,5,KEY: OBJECT: shared 1,
00 00:00:02.000,70,SELECT COUNT(*) FROM dbo.EventLog WHERE ProcessedFlag = 0,app_batch,,34,20,23,,830,3,3,3527,sleeping,,0,0.0,BATCH-SVC-05,ArchiveDB,BatchJobRunner,2026-07-14 09:03:10.000,2026-07-14 04:00:00.000,0,2026-07-14 09:03:12.000,SELECT COUNT(*) FROM dbo.EventLog WHERE ProcessedFlag = 0,1,80,8,,
00 00:00:01.000,55,DELETE FROM dbo.StagingRows WHERE BatchId = @p1,svc_orders,,10,12,20,,152,14,4,1835,sleeping,,0,0.0,APP-SVC-01,OrdersDB,MyApp.OrderService,2026-07-14 09:03:11.000,2026-07-12 18:00:00.000,0,2026-07-14 09:03:12.000,DELETE FROM dbo.StagingRows WHERE BatchId = @p1,1,120,3,,
00 00:00:01.000,55,SELECT * FROM dbo.CustomerNotes WHERE Note LIKE '%priority%',svc_orders,,22,11,3,,475,10,5,903,sleeping,,0,0.0,APP-SVC-01,OrdersDB,MyApp.OrderService,2026-07-14 09:03:17.000,2026-07-12 18:00:00.000,0,2026-07-14 09:03:18.000,SELECT * FROM dbo.CustomerNotes WHERE Note LIKE '%priority%',1,171,12,,
